1,CARBA-E. coli,http://purl.obolibrary.org/obo/ARO_3004313,,,,
2,Campylobacter spp.,http://purl.obolibrary.org/obo/NCBITaxon_194,,,,
3,E. coli,http://purl.obolibrary.org/obo/NCBITaxon_562,,,,
4,ESBL/AmpC-E. coli,http://purl.obolibrary.org/obo/ARO_3004290,,,,
5,Enterococcus spp.,Q517258,,,,
6,Listeria monocytogenes,Q292015,,,,
7,MRSA,http://purl.obolibrary.org/obo/ARO_3004306,,,,
8,STEC,https://w3id.org/hso#ANLYMD_PRVAM_F653A,,,,
9,Salmonella spp.,https://w3id.org/hso#PARAM_RF-00000304-MCG,,,,
